title,genres,director,country,year,imdb_rating
«Спартак». Действующие лица и… болельщики,"документальный, спорт",Илья Гутман,СССР,1985,
?,драма,Ханун Брамантйо,Индонезия,2011,6.9
«Чудотворец» из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958,
…а пятый всадник — Страх,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,1965,7.2
…и передайте привет ласточкам,"драма, военный",Яромил Йиреш,Чехословакия,1972,6.8
…И прекрасный миг победы,спортивный фильм,Вячеслав Винник,СССР,1984,3.8
…которого любили все,"документально, -, биографический фильм",Леонид Осыка,СССР,1982,7.2
"«Москвич», любовь моя",драма,Арам Шахбазян,"Армения, Франция, Россия",2015,7.9
«SOS» над тайгой,"драма, приключения",Аркадий Кольцатый,СССР,1976,5.3
бывшие,"драма, и, мелодрама",Стефан Бризе,Франция,2023,6.4
идеальные роботы,"романтическая комедия, научно-фантастический фильм, и, экранизация литературного произведения",Энтони Хайнс,США,2023,5.5
1,документальный,Пол Краудер,США,2013,7.9
0-41*,"документальный, драма, комедия",Сенна Хегде,Индия,2016,8.9
1 миля до тебя,"драма, мелодрама",Лейф Тильден,США,2017,6.3
01-99,комедия,Амасий Мартиросян,СССР,1959,7.7
1 %,криминальный,Стив МакКаллум,Австралия,2017,5.3
1+1,"комедийная драма, бадди-муви",Оливье Накаш,Франция,2011,8.5
2 дурня в снегу,комедия,Жан-Луи Гийерму,Франция,1977,3.2
2 дня в Париже,"комедия, драма, мелодрама",Жюли Дельпи,"Франция, Германия",2007,6.7
2 Girls 1 Cup,"порнофильм, и, ЛГБТ-фильм",Марко Фиорито,Бразилия,2007,4.1
2 секунды,комедия,Манон Брайан,Канада,1998,6.6
2-Асса-2,драма,Сергей Соловьёв,Россия,2008,4.6
3 гигантских человека,супергеройский фильм,Tevfik Fikret,,1973,4
3 идиота,"комедия, /, драма",Раджкумар Хирани,Индия,2009,8.4
3 идиота,"комедия, и, семейный фильм",Карлос Боладо,Мексика,2017,4.4
3 ночи в пустыне,драма,Гэбриэль Коуэн,США,2014,4.6
4,драма,Илья Хржановский,"Россия, Нидерланды",2004,6.5
4 американских композитора,"документальный, музыкальный",Питер Гринуэй,Великобритания,1983,7.3
4 дня в мае,"военная, драма, боевик",Ахим фон,"Германия, Украина, Россия",2011,6.4
4 листа фанеры,детектив,Иван Гаврилюк,Украина,1992,5.4
"4 месяца, 3 недели и 2 дня","психологическая, драма",Кристиан Мунджиу,Румыния,2007,7.9
4 x 4,"драма, комедия","Рольф Клеменс,","Финляндия, Норвегия, Швеция, Дания",1965,6.7
5 причин не влюбиться в казаха,комедия,Аскар Узабаев,Казахстан,2017,
4 маленькие девочки,Исторический документальный,Спайк Ли,США,1997,7.8
5 дней в августе,"военный, боевик",Ренни Харлин,"США, Грузия",2011,5.6
5 недель,трагикомедия,Александр Андреев,Россия,2021,4.7
5 неизвестных,триллер,Симон Бранд,США,2006,6.4
